timestamp	context_type	group_type	algorithm	aggregation_method	@k	precision	recall	ndcg	
2021-07-05 23:33:06.483658	none	random_1	baseline	avg	80	0.05750000000000001	0.02389468492909743	0.023822166293159776	
2021-07-05 23:33:06.483961	none	random_1	baseline	avg	85	0.054117647058823534	0.02389468492909743	0.02320351547277765	
2021-07-05 23:33:06.484226	none	random_1	baseline	avg	90	0.057777777777777775	0.02637410879741019	0.02269030320040409	
2021-07-05 23:33:06.484520	none	random_1	baseline	avg	95	0.06105263157894736	0.031137689098965176	0.022310455294085294	
2021-07-05 23:33:06.484815	none	random_1	baseline	avg	100	0.06000000000000001	0.031960734366454885	0.021986192479677463	
2021-07-05 23:33:09.674125	none	random_1	baseline	add	5	0.04	0.0008333333333333333	0.02452588771061834	
2021-07-05 23:33:09.674429	none	random_1	baseline	add	10	0.02	0.0008333333333333333	0.01635059180707889	
2021-07-05 23:33:09.674932	none	random_1	baseline	add	15	0.06666666666666668	0.004358870812661052	0.017759996963387054	
2021-07-05 23:33:09.675292	none	random_1	baseline	add	20	0.09999999999999999	0.010768541649195459	0.02540412708664827	
2021-07-05 23:33:09.675550	none	random_1	baseline	add	25	0.09599999999999999	0.012424920250018507	0.029514322894229957	
2021-07-05 23:33:09.675822	none	random_1	baseline	add	30	0.08666666666666667	0.013247965517508217	0.03067549263247209	
2021-07-05 23:33:09.676074	none	random_1	baseline	add	35	0.07428571428571429	0.013247965517508217	0.03020199454108502	
2021-07-05 23:33:09.676369	none	random_1	baseline	add	40	0.065	0.013247965517508217	0.029086843028301317	
2021-07-05 23:33:09.676640	none	random_1	baseline	add	45	0.057777777777777775	0.013247965517508217	0.02774659668638476	
2021-07-05 23:33:09.676897	none	random_1	baseline	add	50	0.06400000000000002	0.015727389385820974	0.026980859110975218	
2021-07-05 23:33:09.677168	none	random_1	baseline	add	55	0.06545454545454546	0.017949036051912084	0.026216880506287992	
2021-07-05 23:33:09.677421	none	random_1	baseline	add	60	0.06666666666666667	0.021314014954865672	0.025756062910940687	
2021-07-05 23:33:09.677692	none	random_1	baseline	add	65	0.07076923076923078	0.02389468492909743	0.025371921554659067	
2021-07-05 23:33:09.677953	none	random_1	baseline	add	70	0.06571428571428573	0.02389468492909743	0.02494445821846883	
2021-07-05 23:33:09.678210	none	random_1	baseline	add	75	0.06133333333333334	0.02389468492909743	0.024412428036703987	
2021-07-05 23:33:09.678483	none	random_1	baseline	add	80	0.05750000000000001	0.02389468492909743	0.023822166293159776	
2021-07-05 23:33:09.678757	none	random_1	baseline	add	85	0.054117647058823534	0.02389468492909743	0.02320351547277765	
2021-07-05 23:33:09.679011	none	random_1	baseline	add	90	0.057777777777777775	0.02637410879741019	0.02269030320040409	
2021-07-05 23:33:09.679280	none	random_1	baseline	add	95	0.06105263157894736	0.031137689098965176	0.022310455294085294	
2021-07-05 23:33:09.679552	none	random_1	baseline	add	100	0.06000000000000001	0.031960734366454885	0.021986192479677463	
2021-07-05 23:33:12.777669	none	random_1	baseline	app	5	0.0	0.0	0.0	
2021-07-05 23:33:12.777932	none	random_1	baseline	app	10	0.0	0.0	0.0	
2021-07-05 23:33:12.778794	none	random_1	baseline	app	15	0.013333333333333332	0.000823045267489712	0.0	
2021-07-05 23:33:12.778953	none	random_1	baseline	app	20	0.04	0.003292181069958848	0.006007275233962363	
2021-07-05 23:33:12.779102	none	random_1	baseline	app	25	0.064	0.007735474402141068	0.010763506566162625	
2021-07-05 23:33:12.779296	none	random_1	baseline	app	30	0.07999999999999999	0.011027655472099916	0.015009566723360086	
2021-07-05 23:33:12.779508	none	random_1	baseline	app	35	0.07428571428571429	0.011850700739589628	0.017646093447901336	
2021-07-05 23:33:12.779661	none	random_1	baseline	app	40	0.065	0.011850700739589628	0.018693898108108696	
2021-07-05 23:33:12.779796	none	random_1	baseline	app	45	0.057777777777777775	0.011850700739589628	0.018930445494279764	
2021-07-05 23:33:12.779930	none	random_1	baseline	app	50	0.052000000000000005	0.011850700739589628	0.018741086592604827	
2021-07-05 23:33:12.780063	none	random_1	baseline	app	55	0.04727272727272728	0.011850700739589628	0.018328022393090025	
2021-07-05 23:33:12.780258	none	random_1	baseline	app	60	0.04333333333333333	0.011850700739589628	0.01780178452941818	
2021-07-05 23:33:12.780442	none	random_1	baseline	app	65	0.04307692307692308	0.012785280178841965	0.017339755147304358	
2021-07-05 23:33:12.780602	none	random_1	baseline	app	70	0.04	0.012785280178841965	0.016831392795378784	
2021-07-05 23:33:12.780751	none	random_1	baseline	app	75	0.037333333333333336	0.012785280178841965	0.016305623071873734	
2021-07-05 23:33:12.780898	none	random_1	baseline	app	80	0.035	0.012785280178841965	0.015779803630403856	
2021-07-05 23:33:12.781033	none	random_1	baseline	app	85	0.03294117647058824	0.012785280178841965	0.015264260253888887	
2021-07-05 23:33:12.781186	none	random_1	baseline	app	90	0.03333333333333333	0.013719859618094302	0.01482236968892647	
2021-07-05 23:33:12.781341	none	random_1	baseline	app	95	0.031578947368421054	0.013719859618094302	0.014388519025094035	
2021-07-05 23:33:12.781482	none	random_1	baseline	app	100	0.03	0.013719859618094302	0.013966723870139554	
2021-07-05 23:33:15.827881	none	random_1	baseline	avm	5	0.0	0.0	0.0	
2021-07-05 23:33:15.828110	none	random_1	baseline	avm	10	0.0	0.0	0.0	
2021-07-05 23:33:15.828366	none	random_1	baseline	avm	15	0.013333333333333332	0.000823045267489712	0.0	
2021-07-05 23:33:15.828644	none	random_1	baseline	avm	20	0.04	0.003292181069958848	0.006007275233962363	
2021-07-05 23:33:15.828800	none	random_1	baseline	avm	25	0.064	0.007735474402141068	0.010763506566162625	
2021-07-05 23:33:15.828939	none	random_1	baseline	avm	30	0.07999999999999999	0.011027655472099916	0.015009566723360086	
2021-07-05 23:33:15.829073	none	random_1	baseline	avm	35	0.07428571428571429	0.011850700739589628	0.017646093447901336	
2021-07-05 23:33:15.829207	none	random_1	baseline	avm	40	0.065	0.011850700739589628	0.018693898108108696	
2021-07-05 23:33:15.829341	none	random_1	baseline	avm	45	0.057777777777777775	0.011850700739589628	0.018930445494279764	
2021-07-05 23:33:15.829501	none	random_1	baseline	avm	50	0.052000000000000005	0.011850700739589628	0.018741086592604827	
2021-07-05 23:33:15.829652	none	random_1	baseline	avm	55	0.04727272727272728	0.011850700739589628	0.018328022393090025	
2021-07-05 23:33:15.829789	none	random_1	baseline	avm	60	0.04333333333333333	0.011850700739589628	0.01780178452941818	
2021-07-05 23:33:15.829922	none	random_1	baseline	avm	65	0.04307692307692308	0.012785280178841965	0.017339755147304358	
2021-07-05 23:33:15.830055	none	random_1	baseline	avm	70	0.04	0.012785280178841965	0.016831392795378784	
2021-07-05 23:33:15.830221	none	random_1	baseline	avm	75	0.037333333333333336	0.012785280178841965	0.016305623071873734	
2021-07-05 23:33:15.830369	none	random_1	baseline	avm	80	0.035	0.012785280178841965	0.015779803630403856	
2021-07-05 23:33:15.830526	none	random_1	baseline	avm	85	0.03294117647058824	0.012785280178841965	0.015264260253888887	
2021-07-05 23:33:15.830688	none	random_1	baseline	avm	90	0.03333333333333333	0.013719859618094302	0.01482236968892647	
2021-07-05 23:33:15.830826	none	random_1	baseline	avm	95	0.031578947368421054	0.013719859618094302	0.014388519025094035	
2021-07-05 23:33:15.830959	none	random_1	baseline	avm	100	0.03	0.013719859618094302	0.013966723870139554	
2021-07-05 23:33:18.797321	none	random_1	baseline	lms	5	0.04	0.0008333333333333333	0.02452588771061834	
2021-07-05 23:33:18.797554	none	random_1	baseline	lms	10	0.02	0.0008333333333333333	0.01635059180707889	
